date,title,url
2021-06-10T15:58:00,"Milley Says Budget Request Balances Readiness, Modernization",http://www.defense.gov/Explore/News/Article/Article/2653864/milley-says-budget-request-balances-readiness-modernization/
2021-06-10T15:08:00,Austin Calls DOD FY22 Budget Request 'Right Mix of Capabilities',http://www.defense.gov/Explore/News/Article/Article/2653751/austin-calls-dod-fy22-budget-request-right-mix-of-capabilities/
2021-06-09T17:29:00,"DOD Announces Center to Collaborate on, Advance Shared Interests in Arctic Region",http://www.defense.gov/Explore/News/Article/Article/2652190/dod-announces-center-to-collaborate-on-advance-shared-interests-in-arctic-region/
2021-06-09T14:33:00,Austin Signs Internal Directive to Unify Department's China Efforts,http://www.defense.gov/Explore/News/Article/Article/2651742/austin-signs-internal-directive-to-unify-departments-china-efforts/
2021-06-09T12:59:00,Austin: 'No One Should Have to Hide Who They Love to Serve the Country They Love',http://www.defense.gov/Explore/News/Article/Article/2651424/austin-no-one-should-have-to-hide-who-they-love-to-serve-the-country-they-love/
2021-06-09T08:13:54,Official Says DOD on Track to Accelerate Delivery of Hypersonic Weapons ,http://www.defense.gov/Explore/News/Article/Article/2651014/official-says-dod-on-track-to-accelerate-delivery-of-hypersonic-weapons/
2021-06-08T17:13:00,DOD Vaccine Centers Draw Down to 5,http://www.defense.gov/Explore/News/Article/Article/2650689/dod-vaccine-centers-draw-down-to-5/
2021-06-08T16:15:00,Hicks Provides Overview of DOD Priorities,http://www.defense.gov/Explore/News/Article/Article/2650466/hicks-provides-overview-of-dod-priorities/
2021-06-07T15:33:00,U.S. Leaders See NATO Summit as Means to Strengthen Trans-Atlantic Ties,http://www.defense.gov/Explore/News/Article/Article/2648308/us-leaders-see-nato-summit-as-means-to-strengthen-trans-atlantic-ties/
2021-06-07T14:56:00,"Ukraine Making Progress on Defense Reforms, Official Says",http://www.defense.gov/Explore/News/Article/Article/2648670/ukraine-making-progress-on-defense-reforms-official-says/
2021-06-04T16:54:00,"DOD Looking for Advanced Command, Control Solution",http://www.defense.gov/Explore/News/Article/Article/2646822/dod-looking-for-advanced-command-control-solution/
2021-06-04T16:09:00,DOD Gives Update on Tenant Bill of Rights for Privatized Housing,http://www.defense.gov/Explore/News/Article/Article/2646757/dod-gives-update-on-tenant-bill-of-rights-for-privatized-housing/
